Number,Link,Name,Person,Category,Comments,Online summary,Mechanism,How_many_on_the_ground_users ,Novelty,Systemic amplification,team_diversity,Last Worked On 
3,http://www.datasciencepublicpolicy.org/projects/aequitas/,Aequitas,Hannah,Green,Tool to monitor machine learning models for discrimination - useful orginal - needs to be used by a community? Possible law that forces all models to pass through this?,Tool to monitor machine learning models for discrimination,Tool,N/A,0,"4,400",,
4,https://aleph.occrp.org/,Aleph,Hannah,Green,Good and useful database to allow journalists to draw links between different kinds of data... should link up with a community of users (bureau local) and monitor who uses it and what stories are supported by it.,database to allow journalists to draw links between different kinds of data,Dataset,N/A,0,"2,130,000",,
6,https://allourideas.org,All Our Ideas,Hannah,Green,Interesting platform to trial a new form of decision making. Easy to use - open and free - much simpler than platforms like POLIS. Again would need to see how it being used and by who. Next steps would be to tell more people about this and share casestudies of how it is used. Could be useful for a lot of people. Increase its user base - money on promotion and developing a community of users and case studies.,Platform that allows for choice ranking decision making,Tool,119280,1,"13,790",,
7,https://mako.cc/academic/hill-almost_wikipedia-DRAFT.pdf,Almost Wikipedia: Eight Early Encyclopedia Projects and the Mechanisms of Collective Action,Hannah,Green,Research into why wikipedia worked by focusing on other failed attempts. One finiding is that it combined an innovative process with an established concept (encyclopedia). Interesting... but what is being done as a result of this research though? How is it's conclusions or learning being distributed? More research on failed projects? Popularise it's findings among start up communities? Unknown what it's next steps could be?,Research into why wikipedia worked and other attempts failed,Paper,N/A,1,N/A,,
12,https://fullfact.org/about/automated/,Automatic Fact Checking,Amber,Green,"Using technology to make fact-checking more effective. I like the fact the want to use technology to improve fact-checking but acknowledge the importance of this being a tool, not a way to replace individuals.Have  developed a claim-type classifier to guide fact checkers towards claims that might be worth investigating. Fairly comprehensive website which does claim they need further funding. ",Tool for automated bact-checking,Tool,1360000,0,"783,490",,
20,https://thebureauinvestigates.com/explainers/join-our-network,Bureau Local,Amber,Green,"investigative journalism plays a key role in keeping democracy strong, power accountable and societies more just.' - have a page for their impact / investigative journalism that has actually led to change. ","In-depth, rigorous investigations into subjects that can bring about change on a local, national or global level.",Community_of_practice,92490,1,"37,800,000",,
23,https://charitybase.uk/,Charitybase,Lydia,Green,"Can access loads of info in one place w the api, seems v useful for research and development of charities. Not sure where money would go here, would be interested in seeing how the data is used. ",A large database of charity data with structured data about different charities in one searchable place ,Dataset,N/A,1,"565,890",,
25,https://civictech.guide/,Civic Tech Field Guide,Lydia,Green,"global collection of tech tools and projects, easy to add and claim projects, seems useful and popular, one guys passion project, could do w our funding ",A global collection of tech tools and projects in civic tech with a taxonomy,Toolkit,N/A,0,"23,280",,
26,https://clearthelobby.co.uk/,Clear The Lobby,Lydia,Green,"weekly newsletter on what laws mps are voting on in parliament this week, masisvely back, seems small and fresh, could do w some moneyz ",A weekly newsletter on what laws mps are voting on in parliament this week,NA,N/A,0,"112,000",,
38,https://consulproject.org/,Consul,Lydia,Green,"not used in uk but I back, free software used for debates, voting etc, tho not sure how much moneys it needs, not sure about what it actually does, tho touches on loads of important things, page in english and think doesnt really show full usefulness, what software and how to make work","CONSUL is the most complete citizen participation tool for an open, transparent and democratic government.",Tool,N/A,0,"60,070",,
